direction,effector,elasticity,reaction,type
reverse,EX_12dgr180_m,1.0191780033159594,EX_12dgr180_m,exchanges
forward,EX_12dgr180_m,1.1974338573354126,EX_13ppd_m,exchanges
forward,EX_12dgr180_m,-0.3665740358791236,EX_26dap_M_m,exchanges
forward,EX_12dgr180_m,-0.2009429890224368,EX_3mop_m,exchanges
reverse,EX_12dgr180_m,-0.0126477544619308,EX_4abz_m,exchanges
forward,EX_12dgr180_m,-0.3971202124828199,EX_Lcyst_m,exchanges
reverse,EX_12dgr180_m,-0.29548712379231734,EX_ac_m,exchanges
forward,EX_12dgr180_m,0.15371745524336067,EX_acald_m,exchanges
forward,EX_12dgr180_m,0.07457866347762021,EX_acgam_m,exchanges
reverse,EX_12dgr180_m,0.01642071166267245,EX_adn_m,exchanges
forward,EX_12dgr180_m,0.022844215649815425,EX_adocbl_m,exchanges
forward,EX_12dgr180_m,0.022844215649815425,EX_ala_D_m,exchanges
zero,EX_12dgr180_m,-1.1057250262069829e-05,EX_ala_L_m,exchanges
forward,EX_12dgr180_m,0.022844215649815425,EX_alaasp_m,exchanges
zero,EX_12dgr180_m,-4.06864681856689e-05,EX_alagln_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alaglu_m,exchanges
reverse,EX_12dgr180_m,-0.27151596939634565,EX_alagly_m,exchanges
forward,EX_12dgr180_m,0.1496020440331236,EX_alahis_m,exchanges
reverse,EX_12dgr180_m,-0.5536217057047965,EX_alaleu_m,exchanges
forward,EX_12dgr180_m,-0.10161209195978682,EX_alathr_m,exchanges
forward,EX_12dgr180_m,0.14282210434163556,EX_amp_m,exchanges
forward,EX_12dgr180_m,-0.019743160203637977,EX_arab_L_m,exchanges
forward,EX_12dgr180_m,-0.5869738126933299,EX_arabttr_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arbt_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arg_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arsenb_m,exchanges
forward,EX_12dgr180_m,1.1035713825548044,EX_asn_L_m,exchanges
zero,EX_12dgr180_m,-0.003679718254065989,EX_asp_L_m,exchanges
zero,EX_12dgr180_m,-0.03790322731173745,EX_btn_m,exchanges
zero,EX_12dgr180_m,-0.021074411340613608,EX_butso3_m,exchanges
zero,EX_12dgr180_m,-4.347760409473267e-05,EX_ca2_m,exchanges
reverse,EX_12dgr180_m,0.5250904352275976,EX_cbl1_m,exchanges
forward,EX_12dgr180_m,1.9188651941847112,EX_cbl2_m,exchanges
forward,EX_12dgr180_m,0.23519478612372025,EX_cd2_m,exchanges
forward,EX_12dgr180_m,0.022798109799353483,EX_cellb_m,exchanges
zero,EX_12dgr180_m,-0.0008189275206049729,EX_cgly_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chol_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chols_m,exchanges
zero,EX_12dgr180_m,0.0,EX_cl_m,exchanges
reverse,EX_12dgr180_m,-0.011190224386626226,EX_co2_m,exchanges
reverse,EX_12dgr180_m,-0.011186385963968901,EX_cobalt2_m,exchanges
reverse,EX_12dgr180_m,-0.0021253481168813197,EX_crn_m,exchanges
forward,EX_12dgr180_m,-1.6445894044333498,EX_cro4_m,exchanges
reverse,EX_12dgr180_m,-0.009032555538193692,EX_ctbt_m,exchanges
reverse,EX_12dgr180_m,-0.007504496080175255,EX_cu2_m,exchanges
reverse,EX_12dgr180_m,-0.044479880778749425,EX_cys_L_m,exchanges
forward,EX_12dgr180_m,-0.06274936920640073,EX_cytd_m,exchanges
forward,EX_12dgr180_m,-0.5104198133018922,EX_dad_2_m,exchanges
reverse,EX_12dgr180_m,-0.028093331459713173,EX_dcyt_m,exchanges
reverse,EX_12dgr180_m,-0.030859349223659304,EX_dgsn_m,exchanges
zero,EX_12dgr180_m,-0.006937305891430157,EX_din_m,exchanges
zero,EX_12dgr180_m,-0.026822864252995515,EX_drib_m,exchanges
zero,EX_12dgr180_m,-0.009534094472982702,EX_duri_m,exchanges
zero,EX_12dgr180_m,-0.01636836859422175,EX_ethso3_m,exchanges
zero,EX_12dgr180_m,-0.016691646844204655,EX_etoh_m,exchanges
zero,EX_12dgr180_m,-0.0017629267840213458,EX_fe2_m,exchanges
zero,EX_12dgr180_m,-0.0012705498384590896,EX_fe3_m,exchanges
zero,EX_12dgr180_m,-1.0700327788271125e-05,EX_fol_m,exchanges
reverse,EX_12dgr180_m,6.927570134873603e-07,EX_for_m,exchanges
reverse,EX_12dgr180_m,-0.5430758505274547,EX_fru_m,exchanges
reverse,EX_12dgr180_m,-0.6390310968199842,EX_gal_m,exchanges
forward,EX_12dgr180_m,0.022859625735662803,EX_galt_m,exchanges
reverse,EX_12dgr180_m,-0.005061392579552154,EX_gam_m,exchanges
reverse,EX_12dgr180_m,-0.09814212957640178,EX_gbbtn_m,exchanges
reverse,EX_12dgr180_m,-0.9978607277349205,EX_gcald_m,exchanges
reverse,EX_12dgr180_m,-0.6803516482859351,EX_glc_D_m,exchanges
reverse,EX_12dgr180_m,-0.5553063613641918,EX_gln_L_m,exchanges
zero,EX_12dgr180_m,-0.005742328122053664,EX_glu_L_m,exchanges
zero,EX_12dgr180_m,-0.0018412098659759124,EX_gly_m,exchanges
reverse,EX_12dgr180_m,-0.06851558469226804,EX_glyasn_m,exchanges
zero,EX_12dgr180_m,-3.827079702034553e-06,EX_glyasp_m,exchanges
reverse,EX_12dgr180_m,-0.055904234756478655,EX_glyb_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc3p_m,exchanges
reverse,EX_12dgr180_m,-0.1002067673641327,EX_glycys_m,exchanges
reverse,EX_12dgr180_m,-3.398901927909037e-05,EX_glygln_m,exchanges
forward,EX_12dgr180_m,-0.8025260772016551,EX_glyglu_m,exchanges
reverse,EX_12dgr180_m,-0.0639204510970251,EX_glyleu_m,exchanges
forward,EX_12dgr180_m,-0.3469837544926069,EX_glymet_m,exchanges
forward,EX_12dgr180_m,3.114189655151598,EX_glyphe_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glypro_m,exchanges
reverse,EX_12dgr180_m,-0.0003474873019948532,EX_glytyr_m,exchanges
reverse,EX_12dgr180_m,-0.053194946098349405,EX_gsn_m,exchanges
zero,EX_12dgr180_m,-0.0032146189790083213,EX_gthrd_m,exchanges
zero,EX_12dgr180_m,-7.725725499341252e-06,EX_gua_m,exchanges
reverse,EX_12dgr180_m,-0.0717483800918739,EX_h_m,exchanges
reverse,EX_12dgr180_m,0.036760583335979646,EX_h2_m,exchanges
reverse,EX_12dgr180_m,-0.006082031030686611,EX_h2o_m,exchanges
forward,EX_12dgr180_m,-0.018288989469592704,EX_hexs_m,exchanges
zero,EX_12dgr180_m,-4.96640426561612e-06,EX_hg2_m,exchanges
reverse,EX_12dgr180_m,0.00872674373723542,EX_his_L_m,exchanges
zero,EX_12dgr180_m,-5.761722796648883e-06,EX_hxan_m,exchanges
reverse,EX_12dgr180_m,0.021737231907301355,EX_ile_L_m,exchanges
zero,EX_12dgr180_m,-0.0019168599630248195,EX_ins_m,exchanges
zero,EX_12dgr180_m,0.0,EX_isetac_m,exchanges
reverse,EX_12dgr180_m,0.01957689587311115,EX_k_m,exchanges
reverse,EX_12dgr180_m,-0.0003474702573447175,EX_lac_L_m,exchanges
forward,EX_12dgr180_m,0.8416480518095804,EX_lanost_m,exchanges
reverse,EX_12dgr180_m,-0.0003474615032006412,EX_lcts_m,exchanges
zero,EX_12dgr180_m,-0.0014131552223517474,EX_leu_L_m,exchanges
zero,EX_12dgr180_m,-0.0013896910283683894,EX_lys_L_m,exchanges
zero,EX_12dgr180_m,-0.002097104487130963,EX_malt_m,exchanges
zero,EX_12dgr180_m,-0.0028184514407847416,EX_malthx_m,exchanges
zero,EX_12dgr180_m,-0.0002509536856720729,EX_malttr_m,exchanges
zero,EX_12dgr180_m,-0.0022159786510655977,EX_man_m,exchanges
zero,EX_12dgr180_m,-0.0022910397048647724,EX_melib_m,exchanges
zero,EX_12dgr180_m,-9.484146280769323e-05,EX_met_D_m,exchanges
zero,EX_12dgr180_m,0.0,EX_met_L_m,exchanges
reverse,EX_12dgr180_m,-0.014537625753460477,EX_metala_m,exchanges
zero,EX_12dgr180_m,0.0,EX_metsox_R_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_metsox_S_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mg2_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mn2_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mnl_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mops_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mqn7_m,exchanges
zero,EX_12dgr180_m,0.0,EX_mso3_m,exchanges
zero,EX_12dgr180_m,-1.0625457953494788e-05,EX_na1_m,exchanges
reverse,EX_12dgr180_m,-0.00034747043962557456,EX_nac_m,exchanges
zero,EX_12dgr180_m,0.0,EX_nh4_m,exchanges
reverse,EX_12dgr180_m,-0.026150073527703415,EX_no3_m,exchanges
reverse,EX_12dgr180_m,-0.011951631622775898,EX_o2_m,exchanges
reverse,EX_12dgr180_m,-0.004953105582802958,EX_orn_m,exchanges
reverse,EX_12dgr180_m,-0.008844255614141195,EX_pb_m,exchanges
reverse,EX_12dgr180_m,-0.019452404712530305,EX_phe_L_m,exchanges
reverse,EX_12dgr180_m,-0.8291196523113342,EX_pheme_m,exchanges
