direction,effector,elasticity,reaction,type
reverse,EX_12dgr180_m,-0.01350353840993801,EX_12dgr180_m,exchanges
forward,EX_12dgr180_m,-0.0664326078023958,EX_13ppd_m,exchanges
forward,EX_12dgr180_m,0.09500664416211446,EX_26dap_M_m,exchanges
forward,EX_12dgr180_m,0.06405840539345675,EX_3mop_m,exchanges
reverse,EX_12dgr180_m,0.0017530855999117745,EX_4abz_m,exchanges
forward,EX_12dgr180_m,0.408752782525843,EX_Lcyst_m,exchanges
reverse,EX_12dgr180_m,0.0470522189525846,EX_ac_m,exchanges
forward,EX_12dgr180_m,-0.060883220468932464,EX_acald_m,exchanges
forward,EX_12dgr180_m,0.060763569218393876,EX_acgam_m,exchanges
reverse,EX_12dgr180_m,0.007464408730588068,EX_adn_m,exchanges
forward,EX_12dgr180_m,-0.0059960598557307065,EX_adocbl_m,exchanges
forward,EX_12dgr180_m,-0.0059960598557307065,EX_ala_D_m,exchanges
zero,EX_12dgr180_m,-0.00018392889884921715,EX_ala_L_m,exchanges
forward,EX_12dgr180_m,-0.0059960598557307065,EX_alaasp_m,exchanges
zero,EX_12dgr180_m,-0.0008161657089367225,EX_alagln_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alaglu_m,exchanges
reverse,EX_12dgr180_m,0.013375548357211497,EX_alagly_m,exchanges
forward,EX_12dgr180_m,-0.0910358607536832,EX_alahis_m,exchanges
reverse,EX_12dgr180_m,0.04886509687617613,EX_alaleu_m,exchanges
forward,EX_12dgr180_m,0.04058592325630883,EX_alathr_m,exchanges
forward,EX_12dgr180_m,-0.035015396440032376,EX_amp_m,exchanges
forward,EX_12dgr180_m,0.0234362704581903,EX_arab_L_m,exchanges
forward,EX_12dgr180_m,0.053453778795309326,EX_arabttr_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arbt_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arg_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arsenb_m,exchanges
forward,EX_12dgr180_m,-0.21357142456672307,EX_asn_L_m,exchanges
zero,EX_12dgr180_m,-0.04651887915843034,EX_asp_L_m,exchanges
zero,EX_12dgr180_m,-0.004538559545093079,EX_btn_m,exchanges
zero,EX_12dgr180_m,-0.0033700825639471077,EX_butso3_m,exchanges
zero,EX_12dgr180_m,0.000149769251045484,EX_ca2_m,exchanges
reverse,EX_12dgr180_m,1.133956363907721,EX_cbl1_m,exchanges
forward,EX_12dgr180_m,-0.37965139233701706,EX_cbl2_m,exchanges
forward,EX_12dgr180_m,-0.38703493107725695,EX_cd2_m,exchanges
forward,EX_12dgr180_m,-0.00598387229564068,EX_cellb_m,exchanges
zero,EX_12dgr180_m,-0.026591407687366342,EX_cgly_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chol_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chols_m,exchanges
zero,EX_12dgr180_m,0.0,EX_cl_m,exchanges
reverse,EX_12dgr180_m,0.00042679223820613413,EX_co2_m,exchanges
reverse,EX_12dgr180_m,8.56940706098902e-05,EX_cobalt2_m,exchanges
reverse,EX_12dgr180_m,-0.00020843593009828298,EX_crn_m,exchanges
forward,EX_12dgr180_m,0.09532076712052806,EX_cro4_m,exchanges
reverse,EX_12dgr180_m,0.002548964170325796,EX_ctbt_m,exchanges
reverse,EX_12dgr180_m,0.0006156794285933076,EX_cu2_m,exchanges
reverse,EX_12dgr180_m,0.0012875905509138197,EX_cys_L_m,exchanges
forward,EX_12dgr180_m,0.03871856869559487,EX_cytd_m,exchanges
forward,EX_12dgr180_m,0.13302081939121635,EX_dad_2_m,exchanges
reverse,EX_12dgr180_m,0.0038861048312300098,EX_dcyt_m,exchanges
reverse,EX_12dgr180_m,0.005435608349021077,EX_dgsn_m,exchanges
zero,EX_12dgr180_m,-0.05075816453386395,EX_din_m,exchanges
zero,EX_12dgr180_m,-0.19431566249910048,EX_drib_m,exchanges
zero,EX_12dgr180_m,-0.07608513395878092,EX_duri_m,exchanges
zero,EX_12dgr180_m,-0.28133557929702846,EX_ethso3_m,exchanges
zero,EX_12dgr180_m,-0.08510285023305642,EX_etoh_m,exchanges
zero,EX_12dgr180_m,-0.13504742368334988,EX_fe2_m,exchanges
zero,EX_12dgr180_m,-0.1957099718930344,EX_fe3_m,exchanges
zero,EX_12dgr180_m,-0.00030657127856770217,EX_fol_m,exchanges
reverse,EX_12dgr180_m,1.2108479493935625e-07,EX_for_m,exchanges
reverse,EX_12dgr180_m,27.46361138951185,EX_fru_m,exchanges
reverse,EX_12dgr180_m,-0.11900569959415463,EX_gal_m,exchanges
forward,EX_12dgr180_m,-0.006000133415611231,EX_galt_m,exchanges
reverse,EX_12dgr180_m,0.0029328706435582247,EX_gam_m,exchanges
reverse,EX_12dgr180_m,0.010310369684876086,EX_gbbtn_m,exchanges
reverse,EX_12dgr180_m,0.030434084624957336,EX_gcald_m,exchanges
reverse,EX_12dgr180_m,0.025681254867517822,EX_glc_D_m,exchanges
reverse,EX_12dgr180_m,0.015304461485303733,EX_gln_L_m,exchanges
zero,EX_12dgr180_m,-0.16061947683898126,EX_glu_L_m,exchanges
zero,EX_12dgr180_m,-0.07562554100273289,EX_gly_m,exchanges
reverse,EX_12dgr180_m,0.007237914697841852,EX_glyasn_m,exchanges
zero,EX_12dgr180_m,-3.489382386590023e-05,EX_glyasp_m,exchanges
reverse,EX_12dgr180_m,0.011196246801359333,EX_glyb_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc3p_m,exchanges
reverse,EX_12dgr180_m,0.020321482946044078,EX_glycys_m,exchanges
zero,EX_12dgr180_m,0.00026188528712722814,EX_glygln_m,exchanges
forward,EX_12dgr180_m,0.03869280237954076,EX_glyglu_m,exchanges
reverse,EX_12dgr180_m,0.00747853493234335,EX_glyleu_m,exchanges
forward,EX_12dgr180_m,0.10294479410331903,EX_glymet_m,exchanges
forward,EX_12dgr180_m,-1.512323171902752,EX_glyphe_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glypro_m,exchanges
reverse,EX_12dgr180_m,0.0002998327348890939,EX_glytyr_m,exchanges
reverse,EX_12dgr180_m,-0.010434445298699302,EX_gsn_m,exchanges
zero,EX_12dgr180_m,-0.039676312966960836,EX_gthrd_m,exchanges
zero,EX_12dgr180_m,-0.00010643421921585627,EX_gua_m,exchanges
reverse,EX_12dgr180_m,0.004178382634338895,EX_h_m,exchanges
reverse,EX_12dgr180_m,-0.17717335130420508,EX_h2_m,exchanges
reverse,EX_12dgr180_m,0.0005704973669147864,EX_h2o_m,exchanges
forward,EX_12dgr180_m,0.012052010704559635,EX_hexs_m,exchanges
zero,EX_12dgr180_m,-5.2242322503559535e-05,EX_hg2_m,exchanges
reverse,EX_12dgr180_m,-0.0022155197928033082,EX_his_L_m,exchanges
zero,EX_12dgr180_m,-3.489748189977604e-05,EX_hxan_m,exchanges
reverse,EX_12dgr180_m,-0.002436640969888243,EX_ile_L_m,exchanges
zero,EX_12dgr180_m,-0.04772808166629616,EX_ins_m,exchanges
zero,EX_12dgr180_m,0.0,EX_isetac_m,exchanges
reverse,EX_12dgr180_m,-0.0007535647928769151,EX_k_m,exchanges
reverse,EX_12dgr180_m,0.0002998353096028694,EX_lac_L_m,exchanges
forward,EX_12dgr180_m,0.0032489010605174506,EX_lanost_m,exchanges
reverse,EX_12dgr180_m,0.00030012108836352525,EX_lcts_m,exchanges
zero,EX_12dgr180_m,-0.013927921476373228,EX_leu_L_m,exchanges
zero,EX_12dgr180_m,-0.004290490208695985,EX_lys_L_m,exchanges
zero,EX_12dgr180_m,-0.013697338351423838,EX_malt_m,exchanges
zero,EX_12dgr180_m,-0.0054464943073639915,EX_malthx_m,exchanges
zero,EX_12dgr180_m,-0.01995969721772184,EX_malttr_m,exchanges
